Year,Month,Month_Num,Quarter,State,Vehicle_Type,Sales
2014,January,1,Q1,Andhra Pradesh,2-Wheelers,5
2014,January,1,Q1,Andhra Pradesh,3-Wheelers,5
2014,January,1,Q1,Andhra Pradesh,4-Wheelers,0
2014,January,1,Q1,Andhra Pradesh,Bus,0
2014,January,1,Q1,Andhra Pradesh,Others,0
2014,January,1,Q1,Telangana,2-Wheelers,4
2014,January,1,Q1,Telangana,3-Wheelers,4
2014,January,1,Q1,Telangana,4-Wheelers,0
2014,January,1,Q1,Telangana,Bus,0
2014,January,1,Q1,Telangana,Others,0
2014,January,1,Q1,Uttar Pradesh,2-Wheelers,19
2014,January,1,Q1,Uttar Pradesh,3-Wheelers,24
2014,January,1,Q1,Uttar Pradesh,4-Wheelers,1
2014,January,1,Q1,Uttar Pradesh,Bus,0
2014,January,1,Q1,Uttar Pradesh,Others,0
2014,January,1,Q1,Maharashtra,2-Wheelers,16
2014,January,1,Q1,Maharashtra,3-Wheelers,18
2014,January,1,Q1,Maharashtra,4-Wheelers,1
2014,January,1,Q1,Maharashtra,Bus,0
2014,January,1,Q1,Maharashtra,Others,0
2014,January,1,Q1,Karnataka,2-Wheelers,14
2014,January,1,Q1,Karnataka,3-Wheelers,14
2014,January,1,Q1,Karnataka,4-Wheelers,1
2014,January,1,Q1,Karnataka,Bus,0
2014,January,1,Q1,Karnataka,Others,0
2014,January,1,Q1,Tamil Nadu,2-Wheelers,11
2014,January,1,Q1,Tamil Nadu,3-Wheelers,13
2014,January,1,Q1,Tamil Nadu,4-Wheelers,0
2014,January,1,Q1,Tamil Nadu,Bus,0
2014,January,1,Q1,Tamil Nadu,Others,0
2014,January,1,Q1,Rajasthan,2-Wheelers,10
2014,January,1,Q1,Rajasthan,3-Wheelers,10
2014,January,1,Q1,Rajasthan,4-Wheelers,0
2014,January,1,Q1,Rajasthan,Bus,0
2014,January,1,Q1,Rajasthan,Others,0
2014,January,1,Q1,Gujarat,2-Wheelers,9
2014,January,1,Q1,Gujarat,3-Wheelers,9
2014,January,1,Q1,Gujarat,4-Wheelers,0
2014,January,1,Q1,Gujarat,Bus,0
2014,January,1,Q1,Gujarat,Others,0
2014,January,1,Q1,Delhi,2-Wheelers,8
2014,January,1,Q1,Delhi,3-Wheelers,9
2014,January,1,Q1,Delhi,4-Wheelers,0
2014,January,1,Q1,Delhi,Bus,0
2014,January,1,Q1,Delhi,Others,0
2014,January,1,Q1,Bihar,2-Wheelers,5
2014,January,1,Q1,Bihar,3-Wheelers,5
2014,January,1,Q1,Bihar,4-Wheelers,0
2014,January,1,Q1,Bihar,Bus,0
2014,January,1,Q1,Bihar,Others,0
2014,January,1,Q1,Assam,2-Wheelers,4
2014,January,1,Q1,Assam,3-Wheelers,4
2014,January,1,Q1,Assam,4-Wheelers,0
